term,label_type,label
出现胃部灼烧感,eight_principles,hot
出自《素问·刺热篇》。,eight_principles,hot
分别采取温补脾肾或滋养肝肾法,eight_principles,hot
则腋窝体温（检测10分钟）超过37℃可定为发热。,eight_principles,hot
则见壮热烦渴,eight_principles,hot
则见头痛身热,eight_principles,hot
初起见有身热,eight_principles,hot
刺激皮肉而感到疼痛：感到剧烈的烧灼样的疼痛,eight_principles,hot
前列腺炎,eight_principles,hot
动脉硬化是动脉的一种非炎症性病变,eight_principles,hot
助火生热,eight_principles,hot
劳淋六证。基本病机为湿热蕴结下焦,eight_principles,hot
包括炎症,eight_principles,hot
包括病毒性肝炎,eight_principles,hot
午后发热,eight_principles,hot
单纯性高热惊厥愈后良好,eight_principles,hot
即按该炎症处命名,eight_principles,hot
即暑热挟湿。以胸脘痞闷,eight_principles,hot
即火痰也。”证见烦热燥结,eight_principles,hot
即胃火,eight_principles,hot
压之无痛为临床特点。临床表现与西医学的慢性胃炎（包括浅表性胃炎和萎缩性胃炎）,eight_principles,hot
去腐消炎,eight_principles,hot
又称“风热眼”,eight_principles,hot
又称为发热。每个人的正常体温略有不同,eight_principles,hot
又称发烧。由于致热原的作用使体温调定点上移而引起的调节性体温升高（超过0.5℃）,eight_principles,hot
又称气阴两伤。气虚和阴虚同时并见的病理变化。常见于热性病过程中,eight_principles,hot
发热,eight_principles,hot
发热和运动受限,eight_principles,hot
发热恶寒等为主要证候特点。病情有轻重不同,eight_principles,hot
发热是多种疾病的常见症状。小儿正常体温常以肛温36.5～37.5℃,eight_principles,hot
发热是多种疾病的常见症状。高热(High Fever)在临床上属于危重症范畴。小儿正常体温常以肛温36.5～37.5℃,eight_principles,hot
发生喘咳。症见发热咳嗽,eight_principles,hot
发生在舌的称舌疡。可见于现代医学的口腔溃疡。疮疡皆属于火,eight_principles,hot
发生盆腔慢性炎症性组织学改变,eight_principles,hot
发瘀等的病理状态。血热多由邪热入血所致,eight_principles,hot
口干咽燥,eight_principles,hot
口干咽燥等症。,eight_principles,hot
口干唇燥,eight_principles,hot
口燥咽干,eight_principles,hot
口腔炎症是指口颊,eight_principles,hot
可分为热淋,eight_principles,hot
可分为细菌性结膜炎和病毒性结膜炎两类,eight_principles,hot
可见于多种感染性疾病和非感染性疾病。但有时体温升高不一定都是疾病引起的,eight_principles,hot
可认为发热。所谓低热,eight_principles,hot
名非哺乳期乳痈。现代医学之急性化脓性乳腺炎属于乳痈范畴。,eight_principles,hot
后世将外科分为疮疡与杂证两大类。疮疡多由毒邪内侵,eight_principles,hot
呈黄色或黄绿色。脓液是机体组织炎症过程中形成的浓稠或稀薄的渗出物,eight_principles,hot
咯黄稠痰或痰中带血,eight_principles,hot
咽喉炎以及病毒感染甚至心肌梗死均可引起咽喉痛。,eight_principles,hot
咽喉痒是慢性咽炎的一种症状,eight_principles,hot
咽或喉部急性炎症的总称。广义的上感不是一个疾病诊断,eight_principles,hot
咽结膜热,eight_principles,hot
哮喘又名支气管哮喘。支气管哮喘是由多种细胞及细胞组分参与的慢性气道炎症,eight_principles,hot
喉炎,eight_principles,hot
喜冷畏热,eight_principles,hot
因外感而喘咯咳唾者 《泰定养生主论》 “热痰者,eight_principles,hot
因感受风邪或风热怫郁而发的病证。《泰定养生主论》：“风痰者,eight_principles,hot
因风热客于肠胃或湿热蕴积肠胃,eight_principles,hot
在面部可引起疔疮走黄（西医称为败血症或脓毒败血症）,eight_principles,hot
均称“烦热”。多由于里热过盛,eight_principles,hot
增生性颈椎炎,eight_principles,hot
壅阻少阳经脉引起的时行疾病。以发热,eight_principles,hot
壮热是指病人自觉热甚,eight_principles,hot
复杂性高热惊厥愈后则较差。,eight_principles,hot
外感热邪,eight_principles,hot
外感风热所致。中医认为,eight_principles,hot
外界温度变化和过度吸烟亦可引起。呃逆频繁或持续24小时以上,eight_principles,hot
外痔发炎,eight_principles,hot
外而肿热,eight_principles,hot
外阴炎,eight_principles,hot
多兼面赤,eight_principles,hot
多属实火,eight_principles,hot
多属肺热。,eight_principles,hot
多数白带异常为感染或炎症引起,eight_principles,hot
多烦热,eight_principles,hot
多由于风火,eight_principles,hot
多由热盛伤津或阴液亏虚所致,eight_principles,hot
多由邪热犯胃,eight_principles,hot
夜热早凉是指夜间低热,eight_principles,hot
大于2cm者称为斑片。斑疹可以分为炎症性和非炎症性两种。有的斑疹上还会有鳞屑,eight_principles,hot
大便干燥多见于中老年人,eight_principles,hot
大便黄而黏腻,eight_principles,hot
大黄,eight_principles,hot
大黄等药煎服,eight_principles,hot
天行暴赤。俗称红眼病。本病见于《银海精微》。该书对本病病因及其传染流行等均有描述。多于夏秋之季发病,eight_principles,hot
天行赤眼,eight_principles,hot
天行赤眼暴翳,eight_principles,hot
头发干枯而黄,eight_principles,hot
头面噏噏而热,eight_principles,hot
头面烘热,eight_principles,hot
如上呼吸道某一局部炎症特别突出,eight_principles,hot
如急性鼻炎,eight_principles,hot
如感染性高热等。局部性多汗症常初发于儿童或青少年,eight_principles,hot
如滴虫性阴道炎,eight_principles,hot
如潮汐之有定时。午后潮热,eight_principles,hot
子宫内膜炎,eight_principles,hot
子宫内膜炎或盆腔感染,eight_principles,hot
子宫内膜炎等引起的经期延长。宫内节育器和输卵管结扎后引起的经期延长也按本病治疗。本病一般预后良好。,eight_principles,hot
子宫颈炎,eight_principles,hot
宜五苓散加大黄,eight_principles,hot
宜半黄丸。”④素有痰疾,eight_principles,hot
宜温气汤。痛而小便不利为湿热,eight_principles,hot
宜温补汤。痛而拒按为实,eight_principles,hot
宜用六味地黄丸加沙苑子。参见消渴条。蛔虫会引起不同程度的善饥。,eight_principles,hot
宜补血清热,eight_principles,hot
宜黄芩,eight_principles,hot
审因论治。特别是对功能性低热,eight_principles,hot
宫寒顾名思义是“子宫寒冷”的简称。在中医学的文献记载和正式的教科书及相关的中医妇科专著中并无此词条。但是“宫寒”已经成为深入人心的热词,eight_principles,hot
容易在体内积累毒素,eight_principles,hot
寒温失调等多种因素导致肝气失舒,eight_principles,hot
寒热往来是发热与恶寒交替出现的一种热型,eight_principles,hot
寒热虚实夹杂者宜通涩兼施,eight_principles,hot
寒痢宜温,eight_principles,hot
对于各种疑难疮毒,eight_principles,hot
导致体温升高超过正常范围的情形。每个人的正常体温略有不同,eight_principles,hot
小便热赤,eight_principles,hot
小便短赤,eight_principles,hot
小便赤涩,eight_principles,hot
小儿急性上呼吸道感染系由各种病原引起的上呼吸道炎症,eight_principles,hot
尤其是有皲裂或溃疡的炎症为致病菌提供了侵入的途径。轻度擦伤或搔抓,eight_principles,hot
就是我们平常所说的“骨毒”。“骨毒”长期存在于骨与骨膜之上形成“宿毒”。宿毒使得骨及关节周围软织反复充血,eight_principles,hot
尿毒症,eight_principles,hot
尿赤,eight_principles,hot
局部灼痛明显,eight_principles,hot
属于阴虚内热的症候,eight_principles,hot
属里实热证,eight_principles,hot
常为烧灼感,eight_principles,hot
常伴出汗及心悸而出现的燥热症状,eight_principles,hot
常温中即有蒸发。汞中毒以慢性为多见,eight_principles,hot
干燥,eight_principles,hot
干燥多风,eight_principles,hot
并自觉心胸烦热。多由阴虚火旺,eight_principles,hot
并非疾病。多见于急性肝炎时,eight_principles,hot
形成肉眼呈灰黄色或黄白色的浓稠状液体。其处理方法主要有：清理伤口感染,eight_principles,hot
心包炎,eight_principles,hot
心火上炎,eight_principles,hot
急性咽炎,eight_principles,hot
急性多发性神经根炎性麻木,eight_principles,hot
急性扁桃体炎等。急性上感主要用于上呼吸道局部感染定位并不确切者。鼻咽部感染常出现并发症,eight_principles,hot
急性梗阻性化脓性胆管炎等,eight_principles,hot
急性胃肠炎,eight_principles,hot
急性胆囊炎,eight_principles,hot
急性高热多见于感染性和变态感应性疾病,eight_principles,hot
急慢性支气管炎发作等呼吸系统疾病都有可能出现本病症。,eight_principles,hot
恶寒与发热交替发作,eight_principles,hot
恶寒发热,eight_principles,hot
恶毒疮,eight_principles,hot
患者常有传染病接触史。本病与西医学之急性传染性结膜炎相似。,eight_principles,hot
患者经常出现大便干燥,eight_principles,hot
感寒停湿及热迫肠胃所致。,eight_principles,hot
感染引起的神经炎性麻木,eight_principles,hot
慢性咽炎,eight_principles,hot
慢性肾炎,eight_principles,hot
慢性胃炎,eight_principles,hot
慢性胆囊炎,eight_principles,hot
慢性胆管炎,eight_principles,hot
或一日之间体温相差在1℃以上,eight_principles,hot
或低热持续,eight_principles,hot
或因风热怫郁而然也。此皆素抱痰疾者,eight_principles,hot
或在炎热环境中进行体力活动引起机体体温调节功能紊乱所致的一组临床症候群,eight_principles,hot
或外感风热,eight_principles,hot
或干燥,eight_principles,hot
或恶热,eight_principles,hot
或温热病后期及内伤杂病,eight_principles,hot
或渴喜热饮,eight_principles,hot
或湿热,eight_principles,hot
或烦躁而有闷热的感觉,eight_principles,hot
或热病后期阴液尚未恢复,eight_principles,hot
或热盛耗伤津液,eight_principles,hot
或病后余热留恋,eight_principles,hot
或病后虚热不清及火热内郁所致。是虚损劳瘵等病的常见症之一。治宜滋阴降火,eight_principles,hot
或痰火暴亢,eight_principles,hot
或突然高热寒战,eight_principles,hot
或经血的突然增加。临床上以出血时间与基础体温（BBT）曲线对照,eight_principles,hot
或胃腑湿热上蒸鼻窍所致的,eight_principles,hot
或胆经炎热,eight_principles,hot
或脾胃湿热,eight_principles,hot
或自觉有热感,eight_principles,hot
或见赤白相兼,eight_principles,hot
或赤白兼下,eight_principles,hot
或近火取暖,eight_principles,hot
或邪毒,eight_principles,hot
或阴虚火旺,eight_principles,hot
所生病证之一。又为劳倦内伤及五心烦热的症状之一,eight_principles,hot
扁桃体炎,eight_principles,hot
手心热,eight_principles,hot
指上焦心肺之热,eight_principles,hot
指大便干燥。多由胃肠燥热,eight_principles,hot
指炎症的一般症状。即损伤或炎症导致的身体某部位组织的肿胀及疼痛,eight_principles,hot
指热病过程中发于肌表的斑和疹两种证候。见《伤寒九十论·发斑证》。斑和疹虽系两证,eight_principles,hot
指疼痛有灼热之感,eight_principles,hot
指腋温为37.5℃38,eight_principles,hot
指腋温为37.5℃～38℃,eight_principles,hot
损害破裂而排出脓性黄白色汁液坏死物,eight_principles,hot
摄入很热或冷的食物饮料,eight_principles,hot
支气管扩张是由于支气管及其周围肺组织慢性化脓性炎症和纤维化,eight_principles,hot
支气管黏膜或胸膜受炎症,eight_principles,hot
故为赤痢。,eight_principles,hot
故云热痰也。”②火痰 《杂病源流犀烛·痰饮源流》 “热痰,eight_principles,hot
故令身体虚热,eight_principles,hot
故又称非毒性甲状腺肿,eight_principles,hot
故见小便赤涩。,eight_principles,hot
故黄疸患者巩膜黄染常先于黏膜,eight_principles,hot
散热减少,eight_principles,hot
无菌性炎症,eight_principles,hot
易并发肺炎,eight_principles,hot
是一病证名。在《诸病源候论·病热候》中有记载。多因内伤劳损所致,eight_principles,hot
是一种毒疮。痈发于肌肉,eight_principles,hot
是一种特殊类型的慢性喉炎,eight_principles,hot
是一种证名。指全身发热的症象。,eight_principles,hot
是以痢下赤白脓血,eight_principles,hot
是各种消化道疾病常见的症状之一。尤其是反流性食管炎,eight_principles,hot
是指人体被毒蛇咬伤,eight_principles,hot
是指外感热邪入血中,eight_principles,hot
是指按时发热,eight_principles,hot
是指每日午后发热。本病属里证,eight_principles,hot
是指致热原直接作用于体温调节中枢,eight_principles,hot
是机体组织炎症过程中形成的浓稠或稀薄的混和物,eight_principles,hot
是热淋之甚者,eight_principles,hot
是热病后余毒结于颐颌间引起的急性化脓性疾病。临床特点是常发生于热病后期,eight_principles,hot
是颈椎骨关节炎,eight_principles,hot
普遍的临床症状均可表现关节疼痛（arthralgia）。任何原因导致的关节炎,eight_principles,hot
最好是和自己平时同样条件下的体温相比较。如不知自己原来的体温,eight_principles,hot
最常见于发热性疾病,eight_principles,hot
最常见的原因包括鼻炎,eight_principles,hot
月经等因素的影响。一般认为当口腔温度高于37.5 ℃,eight_principles,hot
月经等）的影响。因此判定是否发热,eight_principles,hot
服抗炎药可缓解的症状。症状包括下腹部疼痛,eight_principles,hot
某些妇女疾病（盆腔炎,eight_principles,hot
某些情况可有生理性体温升高,eight_principles,hot
根尖周炎,eight_principles,hot
此种炎症常伴随引起气道反应性增高,eight_principles,hot
气郁化火而寻致胃阴耗伤。其主要临床表现是：胃部隐痛,eight_principles,hot
沙眼是由沙眼衣原体引起的一种慢性传染性结膜角膜炎,eight_principles,hot
沙石淋。多因下焦积热,eight_principles,hot
治宜滋阴降火。是慢性咽炎的症状之一,eight_principles,hot
治疗用滋阴清热法,eight_principles,hot
法当凉血。血热亦是小儿发热证型之一,eight_principles,hot
洗涤用品碱性强等都是导致皮肤干燥的重要原因。预防措施为加强皮肤的日常护理保养,eight_principles,hot
洗澡水过热,eight_principles,hot
测其体温39℃以上者,eight_principles,hot
消毒或去医院处理。,eight_principles,hot
清利湿热,eight_principles,hot
清热养阴,eight_principles,hot
清热导痰汤。③痰热聚于心者 《杂病源流犀烛·痰饮源流》 “在心曰热痰,eight_principles,hot
温毒症状之一。由於温热之毒内蕴肺胃,eight_principles,hot
温清并用。对具传染性的细菌性痢疾和阿米巴痢疾,eight_principles,hot
温肾,eight_principles,hot
湿热,eight_principles,hot
湿热下注是一个中医的术语。中医认为,eight_principles,hot
湿热下注等伤肾气不能固摄而病,eight_principles,hot
湿热之邪,eight_principles,hot
湿热痢重症。多因湿浊热毒蕴结肠中,eight_principles,hot
湿热等邪气痹阻腰膝所致。,eight_principles,hot
湿热蕴结于下焦,eight_principles,hot
湿热阻于肾与膀胱,eight_principles,hot
湿疹是由多种内外因素引起的瘙痒剧烈的一种皮肤炎症反应。分急性,eight_principles,hot
溃面有糜烂的现象。中医认为由脾胃积热,eight_principles,hot
潮热,eight_principles,hot
潮热又名潮红,eight_principles,hot
火“六淫”侵袭,eight_principles,hot
火痰,eight_principles,hot
火邪上炎和火热下迫等。,eight_principles,hot
灼热,eight_principles,hot
灼热感,eight_principles,hot
灼痛,eight_principles,hot
炎症,eight_principles,hot
炎症性白带,eight_principles,hot
炎症过程中细胞,eight_principles,hot
烧灼,eight_principles,hot
热,eight_principles,hot
热争则咳喘,eight_principles,hot
热在气分,eight_principles,hot
热壅,eight_principles,hot
热客膀胱,eight_principles,hot
热毒,eight_principles,hot
热毒较轻,eight_principles,hot
热气与痰水相搏,eight_principles,hot
热泻是指因热迫大肠所引起。亦名“火泻”。,eight_principles,hot
热病伤阴,eight_principles,hot
热痢,eight_principles,hot
热痢宜清,eight_principles,hot
热等邪气乘虚而入,eight_principles,hot
燥,eight_principles,hot
燥咳是病名。是因肺虚液少或燥邪伤肺所致的咳嗽。其证咳嗽痰少,eight_principles,hot
燥脾,eight_principles,hot
牙髓炎,eight_principles,hot
牙龈下的炎症通过牙缝,eight_principles,hot
牙龈（gingiva）是指覆盖于牙槽突表面和牙颈部周围的口腔黏膜上皮及其下方的结缔组织。牙龈肿痛主要是牙龈有炎症而表现出的一种症状,eight_principles,hot
玉女煎或泻黄散去防风加生地方。如属消渴病之善饥,eight_principles,hot
环境温度及湿度变化时加重,eight_principles,hot
甚则口燥,eight_principles,hot
甚至不能发出声音的症状。祖国医学称“暴喑”。多由风寒或风热火毒等邪犯喉,eight_principles,hot
甚至关节肿大灼热为主要临床表现。属于中医学“痹证”的范畴,eight_principles,hot
甚至关节肿大灼热为主要临床表现的病证。,eight_principles,hot
甚至昏厥的病症。多见于患有慢性支气管炎,eight_principles,hot
甚至每个小时都出现。天气和环境温度可加重潮热的发作。中医一般认为病机为阴虚,eight_principles,hot
甚至溃疡久不愈合。多由心脾积热,eight_principles,hot
用温胆汤,eight_principles,hot
用火郁汤加减。亦可选用知柏地黄丸,eight_principles,hot
由于风燥异气内犯肺鼻,eight_principles,hot
由炎性病变形成。最主要的临床症状为声嘶。通过喉镜检查可以进行临床诊断。治疗包括适当声带休息,eight_principles,hot
留滞生热,eight_principles,hot
疫毒,eight_principles,hot
疮毒等症。”孙氏疮毒中药膏是祖传百年,eight_principles,hot
疱疹性咽峡炎,eight_principles,hot
病名。由肠胃酝热所致的痢疾。证见里急后重,eight_principles,hot
病名绞肠痧。”治宜祛秽泄毒为大法。十指青冷者,eight_principles,hot
病机有寒热虚实之分。咳喘与痰密切相关,eight_principles,hot
病毒性咽炎,eight_principles,hot
病状名。指面部呈现枯萎晦黄的病色。多因脾胃虚弱,eight_principles,hot
病理性白带的性状都有很大的不同。病理性白带可分为非炎症性白带,eight_principles,hot
病症名。多为胞内有实热,eight_principles,hot
病证名。指痰热壅阻于肺,eight_principles,hot
症名。两手掌心有发热感觉。一名掌中热。手三阴经是动,eight_principles,hot
症名。即舌体及舌苔干燥,eight_principles,hot
痛如火燎的急性疱疹性皮肤病,eight_principles,hot
痢下赤色,eight_principles,hot
痤疮是毛囊皮脂腺单位的一种慢性炎症性皮肤病,eight_principles,hot
痰水与热相搏之病证,eight_principles,hot
痰热聚于心,eight_principles,hot
痰热阻肺,eight_principles,hot
痰色亦黄。治宜清热化痰,eight_principles,hot
痰証的一种。见《医学入门》卷五。又名气痰。多由肺燥所致。症见痰少色白,eight_principles,hot
痰黏或黄,eight_principles,hot
白睛溢血等。古代医家认为目赤有三,eight_principles,hot
皮肤及其他组织被染成黄色。因巩膜含有较多的弹性硬蛋白,eight_principles,hot
皮肤干燥以及中枢神经系统症状为特征。,eight_principles,hot
皮肤干燥是指皮肤缺乏水分令人感觉不适的现象。其症状主要为皮肤发紧,eight_principles,hot
皮色苍黄,eight_principles,hot
盆腔炎,eight_principles,hot
盆腔炎性包块为女性盆腔脏器的炎症未得到正规治疗,eight_principles,hot
盆腔炎症,eight_principles,hot
目珠每遇明亮温暖场所,eight_principles,hot
目赤,eight_principles,hot
目赤是指眼结膜充血,eight_principles,hot
目赤肿痛(swelling and pain of eye)为多种眼部疾患中的一个急性症状。古代文献根据发病原因,eight_principles,hot
眦角性睑缘炎。,eight_principles,hot
眼白红赤,eight_principles,hot
睑弦赤烂,eight_principles,hot
称为“带下病”。本病可见于现代医学的阴道炎,eight_principles,hot
称为月经延长。本病相当于西医学排卵型功能失调性子宫出血病的黄体萎缩不全者,eight_principles,hot
称隐性黄疸或亚临床黄疸,eight_principles,hot
类风湿性关节炎。,eight_principles,hot
精囊炎,eight_principles,hot
素有痰疾因外感而喘咯咳唾。①痰水与热邪相搏所致的病证 《诸病源候论·痰饮诸病候》 “热痰者,eight_principles,hot
紫暗的为热毒重,eight_principles,hot
红为热像,eight_principles,hot
组织被灼所致。,eight_principles,hot
细菌性咽-扁桃体炎。狭义的上感又称普通感冒,eight_principles,hot
结膜炎也可以引起畏光,eight_principles,hot
结膜炎时大都有不同程度的畏光流泪。多见于角膜异物,eight_principles,hot
羞明就是怕见亮光：眼睛因患角膜炎,eight_principles,hot
老年性阴道炎,eight_principles,hot
而且喜冷恶热。常因火邪窜络,eight_principles,hot
而肉眼看不出黄疸时,eight_principles,hot
而肠道炎症,eight_principles,hot
而长期高热可见于败血症,eight_principles,hot
肌肤枯燥。,eight_principles,hot
肛温比腋温约高0.5℃左右。肛温虽比腋温准确,eight_principles,hot
肛温比腋温约高0.5℃左右。若腋温超过37.4℃,eight_principles,hot
肝火或阴虚火旺所致。常见于中医学的暴风客热,eight_principles,hot
肝火犯肺,eight_principles,hot
肝炎等。,eight_principles,hot
肝胆之火,eight_principles,hot
肢体失于温煦而致者,eight_principles,hot
肺气失和所致。治以疏风清热为主。,eight_principles,hot
肺气失和所致。症状表现为发热重,eight_principles,hot
肺炎,eight_principles,hot
肺炎喘嗽等。多见于西医的肺部急性炎症病变。,eight_principles,hot
肺热之名出自《素问·刺热篇》：“肺热病者,eight_principles,hot
肺热咳嗽属于温病学。现代医学中的呼吸道感染,eight_principles,hot
肺热咳嗽是由于肺内郁热,eight_principles,hot
肺痈是指由于热毒瘀结于肺,eight_principles,hot
肺部有炎症。临床常伴有咳嗽,eight_principles,hot
肾与膀胱气化不利。病理因素为湿热。病位在肾与膀胱。辨证时首辨淋证类别,eight_principles,hot
肾小球肾炎,eight_principles,hot
肾盂肾炎等。治疗尿痛首先要控制急性感染,eight_principles,hot
肾脏本是水火之脏,eight_principles,hot
胃热是一种中医病症,eight_principles,hot
胃肠实热而引起。,eight_principles,hot
胆失通降所引起的以右胁胀痛为主要临床表现的一种疾病。胆胀为肝胆系病证中常见的疾病。其临床表现与西医学所称的慢性胆囊炎,eight_principles,hot
胆蕴热上薰鼻窍等所致,eight_principles,hot
胰腺炎等。,eight_principles,hot
胸中热,eight_principles,hot
胸部刺痛多见于急性肋软骨炎,eight_principles,hot
能迅速传染并引起广泛流行。故称天行赤眼。又名天行赤热,eight_principles,hot
脉滑数。治宜清热化痰,eight_principles,hot
脑炎等疾病,eight_principles,hot
腋温36～37℃衡量。通常情况下,eight_principles,hot
腋温比口温（舌下）低0.2～0.5℃,eight_principles,hot
腋窝温度高于37℃,eight_principles,hot
腰部神经根炎和某些腹部疾病皆可出现腰痛,eight_principles,hot
膀胱炎,eight_principles,hot
自觉发热,eight_principles,hot
至翌日清晨则热退身凉的表现。温病后期气阴耗伤,eight_principles,hot
舌上黄,eight_principles,hot
舌红苔黄等热盛之症。,eight_principles,hot
舌红苔黄腻,eight_principles,hot
舌苔黄腻为主证。多发生于夏令季节,eight_principles,hot
舌苔黄腻等。,eight_principles,hot
色白带黄,eight_principles,hot
苔微黄,eight_principles,hot
苔薄白微黄。风热感冒多见于夏秋季,eight_principles,hot
苔黄腻等。治疗可选用清热,eight_principles,hot
茯苓补心汤等方。火郁而宜升发者,eight_principles,hot
药物中毒,eight_principles,hot
营血虚热致白发,eight_principles,hot
蒸灼鼻窍,eight_principles,hot
蒸达于外所致。常见于外感温热病气分阶段,eight_principles,hot
虚弱而生内热,eight_principles,hot
虚火上扰,eight_principles,hot
虚火上浮而致,eight_principles,hot
虚烦是因虚而致心胸烦热者。由伤寒汗,eight_principles,hot
虚热,eight_principles,hot
虹膜炎,eight_principles,hot
虹膜炎等而怕见光的症状,eight_principles,hot
血热（heat in blood）,eight_principles,hot
衄血等。是风热之邪犯表,eight_principles,hot
表现为下腹部的隐痛和钝痛。炎性包块盆腔炎腹痛在月经期也会加重,eight_principles,hot
角膜炎及角膜外伤,eight_principles,hot
解毒,eight_principles,hot
认为由细菌或病毒感染,eight_principles,hot
证名。小便颜色较正常黄,eight_principles,hot
证名。指易有饥饿感。见《素问·至真要大论》。病因以胃热较为常见。治宜清胃,eight_principles,hot
证名。脐下部胀满。多见于以下几种情况。如伤寒发热,eight_principles,hot
证名。自觉头部胀重不适。外感内伤均可引起。外感多因湿热郁蒸所致。,eight_principles,hot
说明心有火。首先是清淡饮食,eight_principles,hot
诸疮毒肿。 明 李时珍 《本草纲目·虫二·蝎》：“诸疮毒肿。全蝎七枚,eight_principles,hot
赤痢,eight_principles,hot
超高热则为40℃以上。发热时间超过两周为长期发热。,eight_principles,hot
超高热则为41℃以上。发热时间超过两周为长期发热。,eight_principles,hot
