term,combo_cold_deficiency_excess_hot_internal_yang_yin,combo_cold_deficiency_excess_hot_yang_yin,combo_cold_deficiency_excess_internal_yang_yin,combo_cold_deficiency_external_hot_internal_yang_yin,combo_cold_deficiency_external_internal_yin,combo_cold_deficiency_hot_internal_yang_yin,combo_cold_deficiency_hot_yang_yin,combo_cold_deficiency_internal_yang_yin,combo_cold_deficiency_internal_yin,combo_cold_deficiency_yang_yin,combo_cold_deficiency_yin,combo_cold_excess_external_internal_yang_yin,combo_cold_excess_internal_yang_yin,combo_cold_excess_yang_yin,combo_deficiency_excess_hot_yang_yin,combo_deficiency_external_hot_internal_yang_yin,combo_deficiency_hot_internal_yang_yin,combo_deficiency_hot_yang_yin,combo_excess_external_hot_internal_yang,combo_excess_external_hot_internal_yang_yin,combo_excess_hot_internal_yang,combo_excess_hot_yang
肺痈是指由于热毒瘀结于肺,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
胃肠实热而引起。,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
茯苓补心汤等方。火郁而宜升发者,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
阳热内盛,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
风和热相结合的病邪,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
“寒”在中医中还指病理产物之寒积聚在人体经脉脏腑中,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
不清洁的脐带结扎,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
中医病症名。指因痰盛气闭而引起四肢厥冷,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
为冷结在膀胱关元,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
寒湿结于肠腑,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
无法正常运化水湿而使寒凉之气停滞在人体经脉脏腑中,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
肝郁气滞致白发。,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
闭塞清阳所致眩晕。见《医学正传·眩运》。《杂病源流犀烛·头痛源流》：“风痰闭壅眩晕,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
一曰风助火郁于上,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
二曰火盛,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
壅阻少阳经脉引起的时行疾病。以发热,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
外界温度变化和过度吸烟亦可引起。呃逆频繁或持续24小时以上,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
多属实火,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
宜温补汤。痛而拒按为实,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
或热盛耗伤津液,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
沙石淋。多因下焦积热,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
热壅,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
用火郁汤加减。亦可选用知柏地黄丸,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
留滞生热,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
舌红苔黄等热盛之症。,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
邪毒亢盛,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
一般将虚热进一步分为阴虚火旺和气虚火旺两种病状。,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
个别部位干燥脱皮,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
又称气阴两伤。气虚和阴虚同时并见的病理变化。常见于热性病过程中,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
或阴虚火旺,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
故令身体虚热,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
热等邪气乘虚而入,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
甚至每个小时都出现。天气和环境温度可加重潮热的发作。中医一般认为病机为阴虚,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
虚火上扰,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
虚火上浮而致,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
虚热,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
邪热乘虚客于胸中,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
阳热不足的病理现象。阳气有温暖肢体,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
阴津亏虚则夜热。,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
阴虚火旺,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
也有虚实寒热之别,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
寒热虚实夹杂者宜通涩兼施,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
但有实火与虚火的区别,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
多由热盛伤津或阴液亏虚所致,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
内热进而化虚火。根据病机不同,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
属于阴虚内热的症候,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
并自觉心胸烦热。多由阴虚火旺,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
病状名。指面部呈现枯萎晦黄的病色。多因脾胃虚弱,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
肝火或阴虚火旺所致。常见于中医学的暴风客热,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
虚弱而生内热,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
阳痿多因命门火衰或心脾受损或恐惧伤肾所致。,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
即手足发凉冷。又称四逆,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
或产时感受外寒而气血凝滞所致,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
排尿困难及小便完全闭寒不通。出《伤寒论·辨太阳病脉证并治》。,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
脘腹及四肢关节等处。因寒邪阻络所致,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
这种寒多为“实寒”。另一方面,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
即由于外来之寒邪或者是人体脾肾阳虚所生之内寒停滞在女性胞宫,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
咳嗽等症状。由脾肾虚寒引起的,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
寒疝是一种急性腹痛的病症。见《金匮要略》。由脾胃虚寒,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
或脾胃虚寒不能运化水谷,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
有肥白气虚多痰人,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
肝经虚寒,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
须发早白是一种疾病。在中医学则认为发须早白主要有以下列三种主要原因：肾阴亏损致白发,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
因感受风邪或风热怫郁而发的病证。《泰定养生主论》：“风痰者,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
因风热客于肠胃或湿热蕴积肠胃,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
或因风热怫郁而然也。此皆素抱痰疾者,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
牙龈（gingiva）是指覆盖于牙槽突表面和牙颈部周围的口腔黏膜上皮及其下方的结缔组织。牙龈肿痛主要是牙龈有炎症而表现出的一种症状,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
证名。自觉头部胀重不适。外感内伤均可引起。外感多因湿热郁蒸所致。,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
多见于阳虚虚寒的病人,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
男子因真阳不足而引起精气清冷,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
阳气不足则早凉,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
容易出现虚寒的征象。常见的有胃阳虚,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
肾阳虚等。阳虚主证为畏寒肢冷,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
这种病理产物的寒可由人体脾肾阳虚,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
属祖国医学“虚劳”范畴。中医治疗白细胞减少症采用益气养血,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
虚脱是以面色苍白,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
这种寒多为“虚寒”。所以,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
面色苍白（pale complexion）是由于脸部毛细血管充盈不足引起,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
或病后虚热不清及火热内郁所致。是虚损劳瘵等病的常见症之一。治宜滋阴降火,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
病机有寒热虚实之分。咳喘与痰密切相关,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
指伤口或疮口表面上由血小板和纤维蛋白凝结而成的块状物,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
有时在睑结膜表面形成一层灰白色假膜,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
指正气虚而兼有内寒的症候。表面为食欲不振,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
气郁化火而寻致胃阴耗伤。其主要临床表现是：胃部隐痛,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
燥咳是病名。是因肺虚液少或燥邪伤肺所致的咳嗽。其证咳嗽痰少,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
营血虚热致白发,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
阴阳相胜也。阳不足则先寒后热,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
虚烦是因虚而致心胸烦热者。由伤寒汗,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
阴不足则先热后寒。”其病机是邪入半表半里,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
